id,po_number,buyer_id,supplier_id,amount,quantity,description,po_date,expected_delivery_date,status
1,PO-202510-000001,1,16,1561713.09,339,Reduced directional conglomeration,2025-10-02,2025-12-16,confirmed
2,PO-202503-000002,1,16,5855641.31,141,Realigned zero administration contingency,2025-03-08,2025-03-23,delivered
3,PO-202504-000003,1,34,2010395.94,958,Managed national definition,2025-04-21,2025-07-05,confirmed
4,PO-202507-000004,1,34,2955912.75,775,Monitored content-based synergy,2025-07-21,2025-09-10,confirmed
5,PO-202509-000005,1,34,1538893.06,61,Implemented local customer loyalty,2025-09-22,2025-10-18,delivered
6,PO-202512-000006,1,34,1332446.22,757,Open-source transitional function,2025-12-02,2025-12-21,confirmed
7,PO-202504-000007,1,28,3904712.13,181,Distributed impactful pricing structure,2025-04-21,2025-05-10,confirmed
8,PO-202512-000008,1,28,3534096.57,191,Mandatory zero administration hardware,2025-12-13,2026-02-03,confirmed
9,PO-202505-000009,1,28,473186.34,582,Optional 4thgeneration intranet,2025-05-08,2025-06-05,confirmed
10,PO-202510-000010,1,28,1555321.66,657,Decentralized mission-critical moratorium,2025-10-27,2026-01-19,delivered
11,PO-202507-000011,1,28,2378243.57,962,Reactive motivating algorithm,2025-07-22,2025-08-23,delivered
12,PO-202512-000012,1,28,2276467.94,198,Programmable neutral time-frame,2025-12-12,2026-01-10,confirmed
13,PO-202503-000013,1,28,1075495.72,470,Programmable intermediate customer loyalty,2025-03-09,2025-04-25,confirmed
14,PO-202503-000014,1,28,492121.24,346,Reverse-engineered multi-tasking strategy,2025-03-20,2025-05-11,delivered
15,PO-202508-000015,1,31,5999412.67,180,Monitored optimal hub,2025-08-07,2025-10-12,confirmed
16,PO-202505-000016,1,31,4327509.55,89,Team-oriented homogeneous paradigm,2025-05-24,2025-07-29,confirmed
17,PO-202503-000017,1,31,2044210.77,144,Expanded multi-state website,2025-03-13,2025-05-28,confirmed
18,PO-202509-000018,1,31,7232897.85,7,Universal client-server product,2025-09-24,2025-11-11,confirmed
19,PO-202511-000019,1,31,2394755.06,772,Robust bifurcated archive,2025-11-27,2026-01-15,confirmed
20,PO-202510-000020,1,31,2853658.02,741,Implemented non-volatile intranet,2025-10-05,2026-01-01,confirmed
21,PO-202601-000021,1,31,2574599.84,369,Re-engineered content-based hardware,2026-01-20,2026-03-06,confirmed
22,PO-202507-000022,1,31,5381113.45,477,Ameliorated zero administration open architecture,2025-07-16,2025-09-08,confirmed
23,PO-202505-000023,1,31,3568499.4,515,Progressive intermediate success,2025-05-12,2025-07-05,confirmed
24,PO-202506-000024,1,31,5180246.46,964,Multi-layered fresh-thinking neural-net,2025-06-26,2025-08-17,confirmed
25,PO-202509-000025,1,31,5013846.03,225,Organic full-range knowledge user,2025-09-26,2025-10-28,confirmed
26,PO-202509-000026,1,31,1825928.18,766,Intuitive actuating success,2025-09-29,2025-11-30,confirmed
27,PO-202512-000027,1,40,2620016.38,483,Open-architected neutral function,2025-12-08,2026-03-01,confirmed
28,PO-202512-000028,1,40,3463637.14,697,Innovative bi-directional hardware,2025-12-11,2026-01-05,delivered
29,PO-202508-000029,1,40,2213386.3,721,Multi-layered zero administration instruction set,2025-08-08,2025-10-08,confirmed
30,PO-202503-000030,1,40,4080149.86,115,Grass-roots real-time matrices,2025-03-31,2025-04-22,delivered
31,PO-202601-000031,1,40,4023188.2,208,Versatile clear-thinking framework,2026-01-21,2026-04-19,delivered
32,PO-202601-000032,1,40,1035410.25,336,Proactive composite pricing structure,2026-01-05,2026-03-27,confirmed
33,PO-202601-000033,1,40,902048.38,211,Balanced contextually-based productivity,2026-01-16,2026-04-15,confirmed
34,PO-202601-000034,1,40,801673.42,523,Pre-emptive regional project,2026-01-21,2026-04-03,confirmed
35,PO-202504-000035,1,40,2239907.32,526,Universal reciprocal intranet,2025-04-18,2025-06-25,confirmed
36,PO-202510-000036,1,40,2678248.21,573,Public-key analyzing strategy,2025-10-13,2025-12-26,confirmed
37,PO-202505-000037,1,40,3310567.26,406,Organized explicit focus group,2025-05-25,2025-07-11,confirmed
38,PO-202510-000038,1,40,3399936.07,593,Switchable context-sensitive extranet,2025-10-13,2025-11-06,confirmed
39,PO-202510-000039,1,40,2121929.76,718,Extended bi-directional strategy,2025-10-10,2025-11-02,delivered
40,PO-202505-000040,1,27,6211993.76,71,Down-sized regional attitude,2025-05-12,2025-07-26,confirmed
41,PO-202504-000041,1,27,2365536.59,185,Universal global utilization,2025-04-24,2025-05-26,confirmed
42,PO-202601-000042,1,25,3902649.95,392,Vision-oriented 5thgeneration algorithm,2026-01-15,2026-03-28,confirmed
43,PO-202504-000043,1,25,1720739.46,700,Profit-focused tertiary superstructure,2025-04-17,2025-07-10,confirmed
44,PO-202507-000044,1,25,2703106.77,357,Persevering modular project,2025-07-13,2025-08-12,confirmed
45,PO-202510-000045,1,25,3902615.23,403,Versatile transitional methodology,2025-10-23,2026-01-13,confirmed
